"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
"MWHResult","380-73208-1","HI0000214","","12/02/2023","215000","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","Lahaina WTP Plant Vault C 112923139 01","380-73208-1"
