"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","0.64","Xylenes, Total","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","3.4","Benzene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","2.1","Toluene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","880 Lui St 10092311004","380-66545-1"
"MWHResult","380-66545-1","HI0000214","","10/13/2023","053300","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","1.0","Styrene","880 Lui St 10092311004","380-66545-1"
