"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-1","HI0000214","","10/26/2023","171700","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene","Komo Mai Park Meter 10202312301","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","Komo Mai St ARV 10202312302","380-68255-1"
"MWHResult","380-68255-2","HI0000214","","10/26/2023","173900","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","Komo Mai St ARV 10202312302","380-68255-1"
