"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","N","2.5","BARIUM","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1020","200.8","LABMWH","STATE","A","MRL","0.90","UG/L","Y","","CHROMIUM","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1022","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","COPPER","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","LEAD","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1045","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","SELENIUM","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1075","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","BERYLLIUM","PWS247 Piiholo WTP Vault D","380-62150-1"
"MWHResult","380-62150-1","HI0000247","","09/15/2023","115121","1085","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","THALLIUM","PWS247 Piiholo WTP Vault D","380-62150-1"
