"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","N","2.5","BARIUM"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1020","200.8","LABMWH","STATE","A","MRL","0.90","UG/L","Y","","CHROMIUM"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1022","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","N","1.1","COPPER"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","LEAD"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1045","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","SELENIUM"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1075","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","BERYLLIUM"
"MWHResult","380-63192-1","HI0000247","","09/23/2023","153329","1085","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","THALLIUM"
"MWHResult","380-63192-1","HI0000247","09/23/2023","09/24/2023","000422","1035","245.1","LABMWH","STATE","A","MRL","0.10","UG/L","Y","","Mercury"
"MWHResult","380-63192-1","HI0000247","","09/15/2023","205800","1040","300.0","LABMWH","STATE","A","MRL","0.050","MG/L","N","0.093","Nitrate as N"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane"
"MWHResult","380-63192-1","HI0000247","","09/18/2023","134600","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene"
