"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane"
"MWHResult","380-61457-1","HI0000215","","09/07/2023","032500","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride"
