"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2010","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Lindane","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2015","525.2","LABMWH","STATE","A","MRL","0.097","UG/L","Y","","Methoxychlor","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2035","525.2","LABMWH","STATE","A","MRL","0.58","UG/L","Y","","Di(2-ethylhexyl)adipate","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2037","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Simazine","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2039","525.2","LABMWH","STATE","A","MRL","0.58","UG/L","Y","","Bis(2-ethylhexyl) phthalate","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2042","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorocyclopentadiene","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2050","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Atrazine","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2051","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Alachlor","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2065","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Heptachlor","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2067","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Heptachlor epoxide (isomer B)","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2274","525.2","LABMWH","STATE","A","MRL","0.049","UG/L","Y","","Hexachlorobenzene","1254/1260 AINAKEA RD 11202313907","380-72304-1"
"MWHResult","380-72304-1","HI0000214","11/25/2023","11/28/2023","143300","2306","525.2","LABMWH","STATE","A","MRL","0.019","UG/L","Y","","Benzo[a]pyrene","1254/1260 AINAKEA RD 11202313907","380-72304-1"
