"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
"MWHResult","380-73212-1","HI0000247","","12/03/2023","192700","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","PWS 247 Kulamanu Cr Hyd 635 11292311001","380-73212-1"
