"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","BARIUM","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1020","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","CHROMIUM","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1022","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","COPPER","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","LEAD","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1035","200.8","LABMWH","STATE","A","MRL","0.20","UG/L","Y","","Mercury Total ICAP/MS","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1045","200.8","LABMWH","STATE","A","MRL","5.0","UG/L","Y","","SELENIUM","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1075","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","BERYLLIUM","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/25/2023","184034","1085","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","THALLIUM","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/20/2023","201000","1040","300.0","LABMWH","STATE","A","MRL","0.050","MG/L","Y","","Nitrate as N","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/20/2023","230600","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Alanuilili Pl Flushout","380-67959-1"
"MWHResult","380-67959-1","HI0000215","","10/20/2023","230600","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Alanuilili Pl Flushout","380-67959-1"
