"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-1","HI0000214","","11/05/2023","185700","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene","125 Komo Mai St 11022311701","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","94 Kupuohi St 11022311702","380-69711-1"
"MWHResult","380-69711-2","HI0000214","","11/05/2023","191900","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","94 Kupuohi St 11022311702","380-69711-1"
