"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","N","5.6","BARIUM","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1020","200.8","LABMWH","STATE","A","MRL","0.90","UG/L","N","1.3","CHROMIUM","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1022","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","N","3.4","COPPER","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","LEAD","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1045","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","SELENIUM","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1075","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","BERYLLIUM","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/23/2023","145436","1085","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","THALLIUM","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","09/23/2023","09/23/2023","232329","1035","245.1","LABMWH","STATE","A","MRL","0.10","UG/L","Y","","Mercury","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/14/2023","182600","1040","300.0","LABMWH","STATE","A","MRL","0.10","MG/L","N","0.25","Nitrate as N","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
"MWHResult","380-62898-1","HI0000214","","09/15/2023","073500","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","PWS214 Napili A, B, C Hono A, B Chlorinator L Honopiilani Hyd 219","380-62898-1"
