"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","2.1","Dichloromethane","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","PWS 215 214 Kulalani Pl","380-60461-1"
"MWHResult","380-60461-2","HI0000215","","08/29/2023","041800","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","PWS 215 214 Kulalani Pl","380-60461-1"
