"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene"
"MWHResult","380-61668-1","HI0000215","","09/09/2023","000000","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2010","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Lindane"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2015","525.2","LABMWH","STATE","A","MRL","0.097","UG/L","Y","","Methoxychlor"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2035","525.2","LABMWH","STATE","A","MRL","0.58","UG/L","Y","","Di(2-ethylhexyl)adipate"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2037","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Simazine"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2039","525.2","LABMWH","STATE","A","MRL","0.58","UG/L","Y","","Bis(2-ethylhexyl) phthalate"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2042","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Hexachlorocyclopentadiene"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2050","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Atrazine"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2051","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Alachlor"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2065","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Heptachlor"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2067","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Heptachlor epoxide (isomer B)"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2274","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Hexachlorobenzene"
"MWHResult","380-61668-1","HI0000215","09/06/2023","09/07/2023","162100","2306","525.2","LABMWH","STATE","A","MRL","0.019","UG/L","Y","","Benzo[a]pyrene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene"
"MWHResult","380-61668-2","HI0000215","","09/09/2023","002000","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2010","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Lindane"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2015","525.2","LABMWH","STATE","A","MRL","0.096","UG/L","Y","","Methoxychlor"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2035","525.2","LABMWH","STATE","A","MRL","0.58","UG/L","Y","","Di(2-ethylhexyl)adipate"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2037","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Simazine"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2039","525.2","LABMWH","STATE","A","MRL","0.58","UG/L","Y","","Bis(2-ethylhexyl) phthalate"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2042","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Hexachlorocyclopentadiene"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2050","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Atrazine"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2051","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Alachlor"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2065","525.2","LABMWH","STATE","A","MRL","0.039","UG/L","Y","","Heptachlor"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2067","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Heptachlor epoxide (isomer B)"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2274","525.2","LABMWH","STATE","A","MRL","0.048","UG/L","Y","","Hexachlorobenzene"
"MWHResult","380-61668-2","HI0000215","09/06/2023","09/07/2023","164100","2306","525.2","LABMWH","STATE","A","MRL","0.019","UG/L","Y","","Benzo[a]pyrene"
"MWHResult","380-61668-3","HI0000215","","09/08/2023","210400","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
