"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","1.6","Dichloromethane","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-1","HI0000214","","08/22/2023","221900","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene","PWS214 Niheu St Hyd 277","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","2.8","Dichloromethane","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-2","HI0000214","","08/22/2023","224200","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene","PWS214 Niheu St Hyd 280","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","PWS214 Laalo St Hyd 273","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","PWS214 Laalo St Hyd 273","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","PWS214 Laalo St Hyd 273","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","PWS214 Laalo St Hyd 273","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","PWS214 Laalo St Hyd 273","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","N","2.3","Dichloromethane","PWS214 Laalo St Hyd 273","380-59925-1"
"MWHResult","380-59925-3","HI0000214","","08/22/2023","230400","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","PWS214 Laalo St Hyd 273","380-59925-1"
