"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2980","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloroethane","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2981","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,1-Trichloroethane","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2982","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Carbon tetrachloride","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2983","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2-Dichloropropane","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2984","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Trichloroethylene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2985","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1,2-Trichloroethane","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2987","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Tetrachloroethylene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2989","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Chlorobenzene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2990","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Benzene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2991","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Toluene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2992","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Ethylbenzene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2996","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Styrene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-1","HI0000247","","12/19/2023","163500","2997","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Xylene","Lower Kula Booster (12152311001)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","Kula Kai Tank (12152311002)","380-75525-1"
"MWHResult","380-75525-2","HI0000247","","12/19/2023","165800","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","Kula Kai Tank (12152311002)","380-75525-1"
