"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte","Sample Identification","COC #"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2969","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","p-Dichlorobenzene","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2976","524.2","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","Vinyl Chloride (VC)","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2977","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,1-Dichloroethene","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
"MWHResult","380-60486-1","HI0000215","","08/29/2023","103800","2979","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","trans-1,2-Dichloroethylene","HI0000215-001 TP003 Upper Kula Treatment Plant Vault C","380-60486-1"
