"Result Indicator","Lab Sample No","PWS ID","Prep Date","Analyzed Date","Time","Analyte Code","Method Code","Lab ID","Cert Agency","Data Quality","MRL","Detect Level","Unit Code","<Detect Level","Concentration","Analyte"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1005","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","Arsenic"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1010","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","N","2.7","BARIUM"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1015","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","CADMIUM"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1020","200.8","LABMWH","STATE","A","MRL","0.90","UG/L","Y","","CHROMIUM"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1022","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","N","2.8","COPPER"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1030","200.8","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","LEAD"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1045","200.8","LABMWH","STATE","A","MRL","2.0","UG/L","Y","","SELENIUM"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1074","200.8","LABMWH","STATE","A","MRL","1.0","UG/L","Y","","ANTIMONY"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1075","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","BERYLLIUM"
"MWHResult","380-62149-1","HI0000215","09/15/2023","09/16/2023","121641","1085","200.8","LABMWH","STATE","A","MRL","0.30","UG/L","Y","","THALLIUM"
"MWHResult","380-62149-1","HI0000215","09/14/2023","09/14/2023","231154","1035","245.1","LABMWH","STATE","A","MRL","0.10","UG/L","Y","","Mercury"
"MWHResult","380-62149-1","HI0000215","","09/13/2023","112619","1038","353.2","LABMWH","STATE","A","MRL","0.10","MG/L","Y","","Nitrate Nitrite as N"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2378","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,4-Trichlorobenzene"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2380","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","cis-1,2-Dichloroethylene"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2414","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","1,2,3-Trichloropropane"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2955","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Xylenes, Total"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2963","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","m,p-Xylenes"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2964","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","Dichloromethane"
"MWHResult","380-62149-1","HI0000215","","09/11/2023","021500","2968","524.2","LABMWH","STATE","A","MRL","0.50","UG/L","Y","","o-Dichlorobenzene"
